,Accuracy,Precision,Recall,F1,AUC,N,Contamination
kNN,0.846,0.6208333333333333,0.613673805601318,0.6172328086164043,0.8277676653005643,6000.0,0.2
kNN,0.9872857142857143,0.4142857142857143,0.37662337662337664,0.3945578231292517,0.8576202794749668,7000.0,0.01
kNN,0.9515714285714286,0.5542857142857143,0.5145888594164456,0.5337001375515819,0.8534778128305387,7000.0,0.05
kNN,0.9195714285714286,0.6028571428571429,0.5968882602545968,0.599857853589197,0.8432651532843007,7000.0,0.1
kNN,0.8642857142857143,0.66,0.6609442060085837,0.6604717655468192,0.8380959640921213,7000.0,0.2
kNN,0.98775,0.425,0.3953488372093023,0.40963855421686746,0.900679396536018,8000.0,0.01
kNN,0.95125,0.5225,0.5122549019607843,0.5173267326732672,0.8347436478542946,8000.0,0.05
kNN,0.9145,0.565,0.5736040609137056,0.5692695214105793,0.8391433235920955,8000.0,0.1
kNN,0.86525,0.656875,0.6651898734177215,0.6610062893081762,0.8460898004653179,8000.0,0.2
kNN,0.9882222222222222,0.45555555555555555,0.41836734693877553,0.4361702127659574,0.8627549874139726,9000.0,0.01
kNN,0.9507777777777778,0.5422222222222223,0.5072765072765073,0.5241675617615467,0.8561759588875447,9000.0,0.05
kNN,0.9132222222222223,0.5866666666666667,0.5635005336179295,0.5748502994011976,0.8426398912195066,9000.0,0.1
kNN,0.8617777777777778,0.6511111111111111,0.6554809843400448,0.653288740245262,0.8403010425080744,9000.0,0.2
kNN,0.9857,0.3,0.2912621359223301,0.2955665024630542,0.8700454487041773,10000.0,0.01
kNN,0.9558,0.564,0.5573122529644269,0.5606361829025844,0.8676679300677523,10000.0,0.05
kNN,0.9182,0.601,0.5892156862745098,0.595049504950495,0.8498157124765273,10000.0,0.1
kNN,0.8604,0.6485,0.6517587939698493,0.6501253132832079,0.8473018964987233,10000.0,0.2
CBLOF,0.983,0.0,0.0,0.0,0.5446698316788952,1000.0,0.01
CBLOF,0.911,0.1,0.10204081632653061,0.10101010101010102,0.533402004334857,1000.0,0.05
CBLOF,0.818,0.17,0.14655172413793102,0.15740740740740738,0.5598377281947261,1000.0,0.1
CBLOF,0.699,0.28,0.26291079812206575,0.27118644067796616,0.5451855563708383,1000.0,0.2
CBLOF,0.9785,0.0,0.0,0.0,0.5933012249565657,2000.0,0.01
CBLOF,0.9105,0.05,0.056179775280898875,0.05291005291005291,0.5568353529830256,2000.0,0.05
CBLOF,0.831,0.145,0.14795918367346939,0.14646464646464644,0.5686993755373547,2000.0,0.1
CBLOF,0.705,0.2875,0.27380952380952384,0.28048780487804875,0.5795012055455093,2000.0,0.2
CBLOF,0.9836666666666667,0.03333333333333333,0.047619047619047616,0.0392156862745098,0.5803801211656197,3000.0,0.01
CBLOF,0.9063333333333333,0.07333333333333333,0.0718954248366013,0.0726072607260726,0.6103064572041205,3000.0,0.05
CBLOF,0.8283333333333334,0.15,0.14754098360655737,0.1487603305785124,0.5891468718634995,3000.0,0.1
CBLOF,0.7056666666666667,0.2733333333333333,0.2684124386252046,0.27085053674649046,0.5787854726963942,3000.0,0.2
CBLOF,0.98025,0.0,0.0,0.0,0.6174755144712226,4000.0,0.01
CBLOF,0.9,0.065,0.05752212389380531,0.06103286384976526,0.5527010612903377,4000.0,0.05
CBLOF,0.82225,0.15,0.13921113689095127,0.14440433212996392,0.5736702814062054,4000.0,0.1
CBLOF,0.71175,0.28375,0.2812887236679058,0.2825140012445551,0.5826422498720287,4000.0,0.2
CBLOF,0.977,0.0,0.0,0.0,0.5661600810536981,5000.0,0.01
CBLOF,0.8998,0.072,0.0627177700348432,0.0670391061452514,0.5714692329245743,5000.0,0.05
CBLOF,0.8226,0.144,0.13559322033898305,0.1396702230843841,0.5659236953122135,5000.0,0.1
CBLOF,0.7086,0.285,0.2775073028237585,0.2812037493833251,0.5775393350098559,5000.0,0.2
CBLOF,0.9786666666666667,0.0,0.0,0.0,0.5252469160287176,6000.0,0.01
CBLOF,0.9018333333333334,0.07,0.0634441087613293,0.06656101426307448,0.5952082641641961,6000.0,0.05
CBLOF,0.8273333333333334,0.15666666666666668,0.15064102564102563,0.15359477124183007,0.5698510473901099,6000.0,0.1
CBLOF,0.709,0.2783333333333333,0.2751235584843493,0.2767191383595692,0.5598051290453829,6000.0,0.2
CBLOF,0.9798571428571429,0.04285714285714286,0.03896103896103896,0.04081632653061224,0.5996780916613359,7000.0,0.01
CBLOF,0.901,0.04857142857142857,0.04509283819628647,0.046767537826685,0.5591073787953003,7000.0,0.05
CBLOF,0.8292857142857143,0.15142857142857144,0.14992927864214992,0.15067519545131486,0.5868497158221871,7000.0,0.1
CBLOF,0.7131428571428572,0.28214285714285714,0.2825464949928469,0.2823445318084346,0.594449075258734,7000.0,0.2
CBLOF,0.97925,0.0,0.0,0.0,0.6338943056461612,8000.0,0.01
CBLOF,0.90775,0.0875,0.0857843137254902,0.08663366336633663,0.6009847827434451,8000.0,0.05
CBLOF,0.82925,0.13875,0.14086294416243655,0.13979848866498745,0.5808042363122939,8000.0,0.1
CBLOF,0.717,0.28625,0.289873417721519,0.2880503144654088,0.5816158957372136,8000.0,0.2
CBLOF,0.9797777777777777,0.03333333333333333,0.030612244897959183,0.031914893617021274,0.6133074888009573,9000.0,0.01
CBLOF,0.9045555555555556,0.08,0.07484407484407485,0.0773361976369495,0.5787315573675476,9000.0,0.05
CBLOF,0.8261111111111111,0.1511111111111111,0.14514407684098185,0.14806750136091454,0.5836878763303552,9000.0,0.1
CBLOF,0.7202222222222222,0.2972222222222222,0.2992170022371365,0.29821627647714605,0.5878470787563854,9000.0,0.2
CBLOF,0.9797,0.0,0.0,0.0,0.5434646764587877,10000.0,0.01
CBLOF,0.9082,0.088,0.08695652173913043,0.08747514910536779,0.592324172287719,10000.0,0.05
CBLOF,0.8278,0.149,0.14607843137254903,0.14752475247524752,0.5773518494257391,10000.0,0.1
CBLOF,0.7142,0.283,0.28442211055276384,0.2837092731829574,0.5911074097077147,10000.0,0.2
OCSVM,0.895,0.01,0.14285714285714285,0.018691588785046728,0.7865055387713997,1000.0,0.01
OCSVM,0.893,0.21,0.42857142857142855,0.28187919463087246,0.7887508315629091,1000.0,0.05
OCSVM,0.86,0.38,0.3275862068965517,0.35185185185185186,0.7224508503666718,1000.0,0.1
OCSVM,0.841,0.77,0.3615023474178404,0.4920127795527156,0.7677696846048763,1000.0,0.2
OCSVM,0.8995,0.055,0.4782608695652174,0.09865470852017937,0.7208330584328473,2000.0,0.01
OCSVM,0.9055,0.25,0.5617977528089888,0.34602076124567477,0.7676491512767596,2000.0,0.05
OCSVM,0.906,0.52,0.5306122448979592,0.5252525252525252,0.813543599257885,2000.0,0.1
OCSVM,0.855,0.825,0.39285714285714285,0.532258064516129,0.8120976491862567,2000.0,0.2
OCSVM,0.9003333333333333,0.03666666666666667,0.5238095238095238,0.06853582554517135,0.7498041848495022,3000.0,0.01
OCSVM,0.9083333333333333,0.2966666666666667,0.5816993464052288,0.39293598233995586,0.836523252316967,3000.0,0.05
OCSVM,0.897,0.49333333333333335,0.4852459016393443,0.48925619834710743,0.781256120928252,3000.0,0.1
OCSVM,0.8636666666666667,0.8366666666666667,0.41080196399345337,0.5510428100987925,0.8035109089053141,3000.0,0.2
OCSVM,0.90275,0.0625,0.6410256410256411,0.11389521640091116,0.8306436473565987,4000.0,0.01
OCSVM,0.9015,0.29,0.5132743362831859,0.37060702875399365,0.763382200524314,4000.0,0.05
OCSVM,0.91125,0.595,0.5522041763341067,0.57280385078219,0.832752257614064,4000.0,0.1
OCSVM,0.87275,0.8725,0.43246592317224286,0.5782932891466447,0.8062874526875123,4000.0,0.2
OCSVM,0.9018,0.074,0.5692307692307692,0.13097345132743363,0.7711916452341985,5000.0,0.01
OCSVM,0.907,0.322,0.5609756097560976,0.409148665819568,0.8089493734802766,5000.0,0.05
OCSVM,0.8982,0.522,0.4915254237288136,0.5063045586808924,0.7945440424704356,5000.0,0.1
OCSVM,0.8622,0.838,0.4079844206426485,0.5487884741322855,0.8162222558256547,5000.0,0.2
OCSVM,0.9016666666666666,0.065,0.5735294117647058,0.11676646706586827,0.7887281345444449,6000.0,0.01
OCSVM,0.9048333333333334,0.3,0.5438066465256798,0.3866809881847476,0.8182312348016642,6000.0,0.05
OCSVM,0.913,0.585,0.5625,0.5735294117647058,0.8403505132020758,6000.0,0.1
OCSVM,0.8686666666666667,0.855,0.42257001647446457,0.5656008820286659,0.7926453184776301,6000.0,0.2
OCSVM,0.8992857142857142,0.05142857142857143,0.4675324675324675,0.09266409266409266,0.7326209829459865,7000.0,0.01
OCSVM,0.9075714285714286,0.30714285714285716,0.5702917771883289,0.39925719591457753,0.8245612208239833,7000.0,0.05
OCSVM,0.9121428571428571,0.5657142857142857,0.5601131541725601,0.5628997867803839,0.8304786688516528,7000.0,0.1
OCSVM,0.8691428571428571,0.8442857142857143,0.4227467811158798,0.5633937082936129,0.8211931514342671,7000.0,0.2
OCSVM,0.90275,0.0675,0.627906976744186,0.12189616252821672,0.7479297800189243,8000.0,0.01
OCSVM,0.906,0.285,0.5588235294117647,0.37748344370860926,0.7964633825079032,8000.0,0.05
OCSVM,0.90925,0.53875,0.5469543147208121,0.5428211586901762,0.8125188278982294,8000.0,0.1
OCSVM,0.87425,0.85875,0.43481012658227847,0.5773109243697478,0.8241757364249379,8000.0,0.2
